Date,Value
2019-05-30,376874.0
2019-05-29,405155.0
2019-05-28,390427.0
2019-05-27,399584.0
2019-05-26,374072.0
2019-05-25,338398.0
2019-05-24,373882.0
2019-05-23,389343.0
2019-05-22,394887.0
2019-05-21,380889.0
2019-05-20,381582.0
2019-05-19,346859.0
2019-05-18,359704.0
2019-05-17,361654.0
2019-05-16,375062.0
2019-05-15,368901.0
2019-05-14,367370.0
2019-05-13,390428.0
2019-05-12,338571.0
2019-05-11,344957.0
2019-05-10,322963.0
2019-05-09,361569.0
2019-05-08,393081.0
2019-05-07,329943.0
2019-05-06,378476.0
2019-05-05,330732.0
2019-05-04,355910.0
2019-05-03,383032.0
2019-05-02,452646.0
2019-05-01,439549.0
2019-04-30,346486.0
2019-04-29,363207.0
2019-04-28,383291.0
2019-04-27,359008.0
2019-04-26,381209.0
2019-04-25,384089.0
2019-04-24,404279.0
2019-04-23,311753.0
2019-04-22,342014.0
2019-04-21,390735.0
2019-04-20,319840.0
2019-04-19,362128.0
2019-04-18,382981.0
2019-04-17,350737.0
2019-04-16,358517.0
2019-04-15,381473.0
2019-04-14,337030.0
2019-04-13,367076.0
2019-04-12,376767.0
2019-04-11,402802.0
2019-04-10,396501.0
2019-04-09,346071.0
2019-04-08,372417.0
2019-04-07,350631.0
2019-04-06,359569.0
2019-04-05,387090.0
2019-04-04,354660.0
2019-04-03,360250.0
2019-04-02,401507.0
2019-04-01,368904.0
2019-03-31,381652.0
2019-03-30,377783.0
2019-03-29,369817.0
2019-03-28,393698.0
2019-03-27,383186.0
2019-03-26,366415.0
2019-03-25,322191.0
2019-03-24,226166.0
2019-03-23,251573.0
2019-03-22,298524.0
2019-03-21,300712.0
2019-03-20,304960.0
2019-03-19,304744.0
2019-03-18,291505.0
2019-03-17,227290.0
2019-03-16,262267.0
2019-03-15,296970.0
2019-03-14,299929.0
2019-03-13,285957.0
2019-03-12,285653.0
2019-03-11,294741.0
2019-03-10,212877.0
2019-03-09,239492.0
2019-03-08,285264.0
2019-03-07,282523.0
2019-03-06,277863.0
2019-03-05,285716.0
2019-03-04,304188.0
2019-03-03,353683.0
2019-03-02,335864.0
2019-03-01,354422.0
2019-02-28,367827.0
2019-02-27,344560.0
2019-02-26,366568.0
2019-02-25,336634.0
2019-02-24,320446.0
2019-02-23,328239.0
2019-02-22,350306.0
2019-02-21,297595.0
2019-02-20,314320.0
2019-02-19,348242.0
2019-02-18,344274.0
2019-02-17,327463.0
2019-02-16,332137.0
2019-02-15,296729.0
2019-02-14,354483.0
2019-02-13,352651.0
2019-02-12,271573.0
2019-02-11,315725.0
2019-02-10,299609.0
2019-02-09,310892.0
2019-02-08,335280.0
2019-02-07,353046.0
2019-02-06,349596.0
2019-02-05,354069.0
2019-02-04,335288.0
2019-02-03,300171.0
2019-02-02,322032.0
2019-02-01,339341.0
2019-01-31,353945.0
2019-01-30,321980.0
2019-01-29,326162.0
2019-01-28,308062.0
